,Unnamed: 0,structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,mni_nlin_x,mni_nlin_y,mni_nlin_z,donor,sample,position_along_hipp_AP_axis
153,3336,4255,17,2467,CX,CA2,"CA2 field, left",41209,121,104,100,-30.0,-26.5,-9.7,-31.0042224373344,-24.2744205099447,-11.623877121831901,9861,581,101
154,3337,4256,17,2475,CX,CA3,"CA3 field, left",41210,119,104,100,-27.8,-26.4,-9.6,-28.836512301634198,-24.445479335404,-11.856682404543701,9861,582,101
155,3338,4257,17,2483,CX,CA4,"CA4 field, left",41208,118,105,100,-26.8,-26.7,-10.7,-27.8699640762432,-24.885735573341197,-13.0063940526157,9861,583,102
156,3529,4264,20,2322,CX,CA2,"CA2 field, right",38729,64,100,111,30.0,-35.4,-2.1,31.4592795098273,-32.937015193330495,-3.9584300776816295,9861,774,93
157,3541,4260,18,2355,CX,S,"subiculum, right",64893,73,105,107,20.5,-32.9,-8.4,21.1209764079148,-30.795417020019894,-10.5148430999454,9861,786,96
158,3542,4265,18,2315,CX,CA3,"CA3 field, right",64891,63,103,107,31.1,-32.1,-6.0,32.3040340595808,-30.0298490533328,-8.117259459628,9861,787,95
159,3543,4266,18,2323,CX,CA4,"CA4 field, right",40614,64,105,107,30.0,-32.7,-8.2,30.991822203325402,-30.792707579111696,-10.285816581665301,9861,788,95
160,3544,4267,18,2331,CX,DG,"dentate gyrus, right",40613,65,105,107,29.0,-32.7,-8.2,29.9178522200902,-30.8115310193432,-10.405320156883699,9861,789,95
161,3546,4267,20,2346,CX,DG,"dentate gyrus, right",38726,67,101,111,26.8,-35.8,-3.2,27.8363768977162,-33.083465315392104,-5.1511263547234005,9861,791,90
162,3548,4263,20,2314,CX,CA1,"CA1 field, right",38730,63,104,111,31.0,-36.5,-6.3,31.935801318264108,-34.2533050595362,-7.88832175621647,9861,793,92
163,3552,4260,17,2305,CX,S,"subiculum, right",41146,70,105,105,23.8,-30.7,-8.7,24.746114548722485,-28.7338300562586,-11.0549759268035,9861,797,97
164,3553,4263,17,2313,CX,CA1,"CA1 field, right",41145,61,107,106,33.2,-32.1,-10.5,34.024358071695104,-30.578180434291905,-12.284960351538803,9861,798,96
165,3554,4265,17,2329,CX,CA3,"CA3 field, right",41143,64,103,106,30.1,-31.0,-6.3,31.2683123068893,-28.983770089289603,-8.51592905962184,9861,799,97
166,3559,4260,20,2393,CX,S,"subiculum, right",38731,73,103,111,20.4,-36.5,-5.5,20.8570683184334,-33.8803991616983,-7.269067297007282,9861,804,92
167,3560,4263,20,2306,CX,CA1,"CA1 field, right",38730,62,104,111,32.0,-36.5,-6.3,33.0219056668587,-34.2484435023835,-7.76162529519831,9861,805,92
168,3561,4265,20,2330,CX,CA3,"CA3 field, right",38728,66,100,111,27.9,-35.5,-2.1,29.158084084559196,-32.8402057453234,-4.10308012818403,9861,806,90
169,3562,4266,20,2338,CX,CA4,"CA4 field, right",38727,66,101,111,27.8,-35.8,-3.2,28.993716720658302,-33.2297790851478,-5.16388338951515,9861,807,90
