Mixture,Exc_L4-6_RORB_SEMA3E,Exc_L4-5_RORB_FOLH1B,Inh_L2-4_PVALB_WFDC2,Exc_L2-3_LINC00507_FREM3,Inh_L1-2_VIP_LBH,Exc_L5-6_THEMIS_C1QL3,Exc_L3-5_RORB_ESR1,OPC_L1-6_PDGFRA,Inh_L1-4_LAMP5_LCP2,Exc_L2_LAMP5_LTK,Oligo_L1-6_OPALIN,Inh_L2-5_VIP_TYR,Exc_L4-5_RORB_DAPK2,Inh_L1-2_LAMP5_DBP,no_class,Inh_L1-2_PAX6_CDH12,Inh_L1-3_SST_CALB1,Inh_L1-3_VIP_CHRM2,Exc_L5-6_THEMIS_FGF10,Inh_L2-4_VIP_CBLN1,Inh_L1-2_SST_BAGE2,Inh_L3-5_SST_ADGRG6,Astro_L1-6_FGFR3_SLC14A1,Inh_L1-2_VIP_PCDH20,Exc_L5-6_FEZF2_ABO,Inh_L4-6_SST_B3GAT2,Exc_L3-5_RORB_FILIP1L,Exc_L3-5_RORB_COL22A1,Exc_L4-6_RORB_C1R,Inh_L4-6_PVALB_SULF1,Exc_L5-6_FEZF2_EFTUD1P1,Exc_L3-5_RORB_TWIST2,Exc_L2-4_LINC00507_GLP2R,Exc_L4-6_FEZF2_IL26,Inh_L1-2_GAD1_MC4R,Exc_L5-6_RORB_TTC12,Exc_L5-6_THEMIS_CRABP1,Inh_L2-6_LAMP5_CA1,Exc_L3-4_RORB_CARM1P1,Inh_L3-6_VIP_HS3ST3A1,Inh_L2-5_PVALB_SCUBE3,Inh_L5-6_SST_NPM1P10,Inh_L1_SST_NMBR,Inh_L2-5_VIP_SERPINF1,Inh_L2-4_VIP_SPAG17,Inh_L5-6_SST_KLHDC8A,Inh_L5-6_SST_MIR548F2,Inh_L2-6_VIP_QPCT,Inh_L1_SST_CHRNA4,Inh_L1-3_PAX6_SYT6,Inh_L1-3_VIP_CCDC184,Inh_L2-3_VIP_CASC6,Inh_L1-4_VIP_CHRNA6,Micro_L1-3_TYROBP,Exc_L5-6_SLC17A7_IL15,Exc_L5-6_THEMIS_DCSTAMP,Inh_L4-5_SST_STK32A,Inh_L1-3_VIP_ADAMTSL1,Exc_L6_FEZF2_OR2T8,Inh_L4-5_PVALB_MEPE,Inh_L5-6_SST_TH,Astro_L1-2_FGFR3_GFAP,Inh_L3-6_SST_HPGD,Inh_L1-3_VIP_GGH,Inh_L2-4_SST_FRZB,Inh_L1-2_VIP_TSPAN12,Exc_L6_FEZF2_SCUBE1,Inh_L5-6_GAD1_GLP1R,Inh_L4-6_SST_GXYLT2,Inh_L1-2_PAX6_TNFAIP8L3,Inh_L1-4_VIP_OPRM1,Inh_L5-6_PVALB_LGR5,Inh_L3-6_SST_NPY,Exc_L4-5_FEZF2_SCN4B,Inh_L1-4_VIP_PENK,P-value,Correlation,RMSE
10021_20,0,0.0661791117457712,0.00822696070018786,0.233593404596209,0.00265906322761177,0.0430110172469288,0,0,0.0142995395037739,0,0,0.0115879606008069,0.00869283862043588,0.000952052149926427,0,0,0.00572906070949248,0.0276060802274949,0.0607337790654811,0.00372657393866937,0,0.00287769561890914,0.0111028569774765,0.0161519264618291,0.0256774694111749,0.00167304889765521,0,0.0270944040167482,0.0526169796730608,0,0.0169052723325445,0,0,0.0204693131841496,0,0,0,0.00214766723172258,0.0287837829124661,0.00727315576935567,0.0016396240059451,0,0,0.0161826772388906,0,0.0232948548857422,0.00205152777626247,0.00328715790910521,0.00757083337202989,0.0225220734279006,0.0148720764454349,0,0.00619401819047431,0.0029099820964243,0,0.0051415205905887,0,0.011503520303236,0.0302755331737975,0.0151052874103872,0.00542123575801508,0,0.0320775679560488,0.0026639308675293,0,0.00310513413622082,0.0154972385559416,0.0109171162383256,0.00894197691038951,0.0153507599570058,0,0.00860955438806129,0.00127511839837654,0.0338186651879848,0,0,0.740372850649152,0.801769690280687
10021_21,0,0.11199182368477,0.00786459093931172,0.146601613829683,0,0.0730964534133019,0,0,0.0224051930238417,0,0,0.00273177288199149,0,0.0115577805437294,0,0.00309939992279816,0,0.0263147631627517,0.0501482445173944,0.00880358111956748,0,0.00627637034405334,0.00923958564550978,0.0125904624163518,0.0294987532122655,0,0,0.0130539662997432,0.0608765368996169,0.00175690174179735,0.0191885316507024,0,0.00144086111382986,0.0246373526433341,0,0,0.0201797702915374,0,0.0368431892960252,0.00756867666195532,0.00133233349506052,0,0,0.01515941925091,0.000182715678150752,0.0273911452479782,0.00125612842422526,0,0.0111157629171416,0.0255262986979027,0.023274535750442,0.00791396611774372,0.00649351606909668,0.000488240643010852,0,0.00115477287530526,0.00314829538267652,0.0134804213810606,0.0397969580330617,0.00247889391240983,0.00749036068803031,0,0.017073912581826,0,0.00657466814813922,0.00593451407675069,0.0130251646956807,0.0108349741037378,0.0152768499900722,0.0161335616684503,0,0.00848898119628666,0.000422187545406486,0.0107852461735803,0,0,0.552612876613038,0.868441418078969
10021_22,0,0.0906986657714208,0.0131292078905574,0.138742467933758,0.00449720170267628,0.0640138944633883,0.00357665811335027,0,0.0120643432317851,0.0180385020218548,0,0.00561408623531928,0,0.00294136053595487,0,0.0055012111805374,0,0.0194519414848188,0.0546503083714396,0.00314795303403022,0,0.00741131581101965,0.00939076723071863,0.00691118814511284,0.0173860395263526,0,0,0.0147213660368442,0.0594536375664037,0.00185693514777029,0.0230035815829217,0,0.00975186096577735,0.0208148898989624,0,0,0.0137475081692941,0,0.031413358048742,0.00806891438200013,0.00193723071308824,0,0,0.0235370396706279,0,0.0254020931511707,8.18776378862586e-05,0,0.00955694419673441,0.0223252778703871,0.022994618322276,0.00920993298617201,0.00827142011398754,0.000506362896908304,0,0.000768297136741324,0.00159399304326215,0.0256184103555359,0.04111369196974,0.0141880844559116,0.0116116217284153,0,0.0446703705412668,0,0.00670096044335008,0.00953512251117921,0.00764982410373661,0.00707832497587382,0.0155608397227783,0.0153798147168038,0,0.006356206411133,0.00409772719034229,0.00425474865188069,0,0,0.775072781258102,0.786084832076641
10021_23,0,0.0583122269390057,0.0127292738291532,0.134739348871325,0.00705094210874651,0.0947511714530818,0,0,0.0083171767746297,0.0159542414721413,0,0.0126590772750618,0,0.0048976286687547,0,0.000740634527401588,0,0.0188186806001571,0.0448702925629536,0.0102401474727102,0,0.0071488832550522,0.0131013231048944,0.0049654422472971,0.00876504243311167,0,0,0.0156639808397208,0.0604513923876714,0.00685599102091655,0.031277312126772,0,0.00814097191176959,0.0274969698280502,0,0.00261980179260153,0.0144936416163992,0,0.0384605347685559,0.00246361767376374,0,0,0,0.0179889054403627,0,0.0341341489787269,0.00145183830529296,0,0.00854344101031958,0.0243133063354078,0.0195132917327019,0.00948119230423609,0.00451259518690501,0,0,0.00825818605485584,0,0.0228874933912796,0.0375604730549339,0.00737293764245723,0.00945978284688665,0,0.0463514957723851,0,0.00380037922939606,0.0155754402250905,0.013932949946948,0.00719329498556326,0.0159620121840193,0.0146011160932668,0,0.0035496378099599,0.00757033390730611,0,0,0,0.781765261580398,0.782295569237987
10021_24,0,0.0706283244450344,0.00211169013738299,0.164153660615795,0.0108955597751549,0.081025454921097,0,0,0.000280183348349183,0.0692383412254445,0,0.0181965850756011,0,0.00561210995419116,0.0142386467488059,0,0,0.0117973673285038,0.0338358549156894,0.0103337822927706,0,0.0107354940919132,0.00707956471082701,0.00146319770034739,0,0,0,0.0133494983862242,0.0706846243335019,0.0114494065115232,0.0382825707939235,0,0.00348480202675032,0.0276238729877294,0,0,0.00469319318738731,0.0050298341650841,0,0.0132486639011952,0.00100193815406017,0,0,0.0167588936257206,0,0.0372343215306696,0.0165176223522223,0.00194192161876339,0.012076714130584,0.00357335705832723,0.0236784603228489,0.00795278641870666,0.00442446431728121,0,0,0.00833373450159028,0,0.0253508753296752,0.0391134953733099,0,0.0085454769070852,0,0.018105814138196,0,0,0.0121514391011584,0.00945938352705959,0.00577531396056461,0.0190925741686515,0.0236457448625789,0.000994337971636625,0.00420752196135307,0.000580007228705133,1.15178590250427e-05,0,0,0.741024002070036,0.803502044062996
10021_525,0,0.0423031101665564,0,0.170933982837418,0.00666454817062482,0.0801769182963861,0,0,0.00484121935875212,0.0957336382873039,0,0.00921415158898839,0,0,0.0313787121315391,0,0,0.0104039059905056,0.0358811307656232,0.0102770742574316,0,0.0151263086357072,0.00462654167947188,0,0.0129270324727705,0,0,0.023383684463952,0.0714042477282503,0.0123344822644245,0.0127130881934402,0,0,0.0266946384379478,0,0.00855620778678128,0.00694320767191692,0,0,0.0140162315502274,0.00594435874852829,0.0148749043209354,0,0.0150028955493072,0,0.0255087762645713,0.0107218268822956,0.00229933589377781,0.0133812554577668,0,0.0295255778803502,0.00305252063174447,0.00189949434420755,0,0,0.00211665160992559,0,0.0303432293575718,0.0403588211188746,0.00382642702981842,0.00899861476815777,0,0.0136819370584956,0,0,0.0102973339021809,0.00336917097297338,0.00454674180413724,0.0203020804301678,0.0212798408963535,0.000261850726180594,0.0107143563410467,0.00115793527461196,0,0,0,0.771883385268722,0.794343298812373
10021_526,0,0.028594730062521,0,0.180569061179255,0.00169219292529066,0.0740924721971842,0,0.00178919922687616,0.0156519143893671,0.00695177610075127,0,0.00119699545743808,0,0.0105077360095216,0,0.010201822727078,0,0.0141637865155382,0.0483016955442315,0.0175505274812084,0,0.0214089664831054,0.0162522069627879,0.00263458137380181,0,0.00855238341524692,0.00121574029591678,0.0189639523677786,0.0766483952162186,0.0075567646567797,0.00675461095327683,0,0.005510912434503,0.0116532225310791,0,0.0185108275778366,0.00692560581855568,0,0.0176899332582636,0.0246473635360153,0.00200971885961094,0.0151169634960636,0,0.0167283802378231,0.00249156672400914,0.0312956550879821,0.0249543966685008,0.00510430358892778,0.00348719298319201,0.00571783486493681,0.0199321334065441,0.0001574527664081,0.00902717368669058,0.000892547012071671,0,0,0,0.018430009369292,0.0503281688338364,0.00493124227563004,0.0142186112466743,0.00397079942095537,0.0537225660085278,0,0,0.018856622025526,0.00542839924700203,0.00620399834858509,0,0.0123802123878257,0,0.000107011096933354,0.0183176636590238,0,0,0,0.857128072188681,0.745928066253313
10021_527,0,0.056653141665976,0.00659956638152296,0.211157992997514,0.00395987966753841,0.0414474563696563,0,0,0.0291531045275424,0.0151997879095073,0,0.00529578790954671,0,0.00118762760580261,0,0.0047114758764833,0,0.0228900098896459,0.0676370151505598,0.00983916470721099,0,0.0184838583847941,0.00886851021954116,0.00276914580576614,0.0293126003327542,0,0,0.0110013472481919,0.0705336566353003,0.00781106951732812,0.0148029379258757,0,0,0.0138051338551212,0,0.00183816018455864,0.00848103063105916,0,0.00741440024792231,0.0183343035665321,0.00967728990105552,0.0143063473026031,0,0.0168949431074107,0,0.0184256351097888,0.00952285464863974,0.00345932416568877,0.00799202090393049,0.0107806373778047,0.0276826258482683,0,0.00602214191589726,0,0,0,0,0.0222158256909121,0.0480195737563151,0.00956176985067643,0.0118520701142727,0,0.0175168735444673,0,0,0.00868689966123678,0.0100772049188666,0.00140664089568898,0.00793003209546016,0.0199702008528392,0,0.00812231657469158,0.00120866826107253,0.0194799382891613,0,0,0.83561253232728,0.766734931482136
10021_528,0,0.0377559252783981,0,0.221404288377249,0.00356253813789176,0.0777188863774181,0,0.00188381592799197,0.0222019752844959,0.0111360966273031,0,0.00483638411067412,0.00337420521482692,0.00650159210642905,0.00683020845358317,0.00594060136784554,0,0.0134472166640979,0.0637562594153774,0.0131003120189152,0,0.00295018336113479,0.0122509039860153,0.00693445450062001,0.0136200761199745,0.00923453621031282,0,0.0165560253271977,0.0664157099854019,0.00382102962232371,0.0139609967696185,0,0,0.0189904718620435,0,0,0,0,0.0275124983448856,0.0132388162525733,0.00533356594527728,0.00549391937398251,0,0.0109373054100688,0,0.0221895576373332,0.00961808860658685,0,0.00502433747913976,0.00447902823654911,0.0226216707356142,0,0.00593288255268772,0.00170020893345846,0,0,0,0.0285400570792827,0.0485789393540023,0.0128390348761001,0.00974795937412755,0,0.0181012924368797,0,0,0.0111879937389562,0.016733866172101,0.00612187677866376,0.0049700396701619,0.0156944269195567,0,0.00586718456290238,0.00194182850530792,0.027408927916661,0,0,0.82362979836074,0.772370517014693
10021_529,0,0.0436354307462923,0.00178114881702359,0.174287006802642,0.00365000791235691,0.0297450219637175,0,0.00219408494328829,0.00311501661869244,0.0196785498272152,0,0.00764423728647775,0.00138919986993981,0.00595520341240387,0,0.012579413944824,0,0.0113447329515539,0.0411682191778696,0.0122291517221946,0,0.0173158550924721,0.016686650913709,0.0024973120847833,0.0162366371444579,0.0152427766072952,0,0.0221832947863765,0.0708404159352871,0.0205820687184716,0.0213594493274055,0,0,0.0505120281137318,0,0,0.0294708872386158,0.00408878378676295,0,0.00452738793809125,0.00133000584121027,0.000707814241232812,0.000488009341183305,0.0191359387268318,0,0.0159791823146812,0.013383253652735,0.00419332200459018,0.0043195321960315,0.00766930960625359,0.0310305945192088,0,0.00510744546204575,0.00172681653034966,0,0,0,0.0125004565309702,0.0470076432121233,0.0185534902700669,0.00479231965451044,0,0.0240624010184933,0.00604901745298794,0,0.0038902301587881,0.0197201665891847,0.00920527569631763,0.012536412950455,0.0160105066947037,0.0054987920631794,0.00652966214578219,0.00512434113333106,0.0415080863088005,0,0,0.8607202826264,0.760384560739639
