,probe_ind,ant-post,step,gene_symbol
187,4985,anterior,2,PTPRG
188,52671,anterior,2,A_32_P118657
189,7058,anterior,2,TNFRSF4
190,52672,anterior,2,A_32_P118657
191,26855,anterior,2,GHSR
192,3011,anterior,2,IGFBP6
193,51675,anterior,2,A_24_P331711
194,35035,anterior,2,ANKRD62
195,45706,anterior,2,HTR3A
196,49830,anterior,2,A_24_P50934
197,12512,anterior,2,SRPX2
198,50583,anterior,2,A_32_P218707
199,53387,anterior,2,A_23_P140654
200,40101,posterior,2,CCDC68
201,872,posterior,2,CRH
202,45884,posterior,2,GRIK1
203,12938,posterior,2,GAL
204,23052,posterior,2,DGKH
205,39906,posterior,2,GVINP1
206,2440,posterior,2,HTR2C
207,27481,posterior,2,TAC1
208,35384,posterior,2,UNC13C
209,29959,posterior,2,PDLIM7
210,49080,posterior,2,A_32_P93115
211,8130,posterior,2,DGKI
212,35111,posterior,2,WIPF3
213,27488,posterior,2,TAC1
214,17773,posterior,2,WNT10A
215,2455,posterior,2,HTR2C
216,27489,posterior,2,TAC1
217,18336,posterior,2,SEMA6D
218,31197,posterior,2,ENO3
219,6802,posterior,2,THBD
220,43234,posterior,2,GABRA1
221,30442,posterior,2,NUDT1
222,18639,posterior,2,KREMEN1
223,45868,posterior,2,HTR7
224,30220,posterior,2,TNNT2
225,29412,posterior,2,PMEPA1
226,27482,posterior,2,TAC1
227,49118,posterior,2,A_24_P42564
228,11793,posterior,2,SOSTDC1
229,4422,posterior,2,PENK
230,22347,posterior,2,CPNE8
231,27486,posterior,2,TAC1
232,43501,posterior,2,PENK
233,27487,posterior,2,TAC1
234,27483,posterior,2,TAC1
235,42237,posterior,2,DCHS2
236,23053,posterior,2,DGKH
237,35532,posterior,2,ONECUT3
238,51329,posterior,2,A_24_P85391
239,18234,posterior,2,EPPK1
240,42221,posterior,2,LOC643827
241,15917,posterior,2,PCDHB8
242,3039,posterior,2,IL1R1
243,10191,posterior,2,NMU
244,33923,posterior,2,FILIP1L
245,45885,posterior,2,GRIK1
246,50642,posterior,2,A_32_P377880
247,18974,posterior,2,TUBA1C
248,45888,posterior,2,GRIK1
249,36532,posterior,2,PENK
250,35940,anterior,2,PLAC2
251,3404,anterior,2,MET
252,15473,anterior,2,GABRQ
253,52670,anterior,2,A_24_P931017
254,6729,anterior,2,TDO2
255,12159,anterior,2,PCOLCE2
256,38667,anterior,2,LY86-AS1
257,44300,anterior,2,ATP2B4
258,33560,anterior,2,PTGFR
259,46817,anterior,2,GRP
260,24408,anterior,2,CLEC4G
261,22241,anterior,2,C4orf45
262,45705,anterior,2,HTR3A
263,52673,anterior,2,A_32_P118657
264,2048,anterior,2,GALR1
265,52674,anterior,2,A_32_P118657
266,2624,anterior,2,IFI16
267,46618,anterior,2,P2RX7
268,49315,anterior,2,A_23_P169319
269,14854,anterior,2,C20orf46
270,53388,anterior,2,A_23_P140654
271,8230,anterior,2,PTER
272,22585,anterior,2,C1QL2
273,18291,anterior,2,FAT4
274,51368,anterior,2,A_32_P136776
275,35836,anterior,2,OBFC2A
276,40052,anterior,2,OBFC2A
277,44986,anterior,2,BHMT
278,11983,anterior,2,TMEFF2
279,5260,anterior,2,PRPH2
280,44288,anterior,2,LOC100129291
281,38752,anterior,2,WDFY4
282,52063,anterior,2,A_32_P93493
283,29196,anterior,2,TRIM54
284,39663,anterior,2,GLI1
285,24483,anterior,2,RSPO2
286,14381,anterior,2,GPR88
287,39276,anterior,2,CNGA3
288,28896,anterior,2,KCNN3
289,44787,anterior,2,ASCL2
290,22831,anterior,2,LIX1
291,8402,anterior,2,BAIAP3
292,46816,anterior,2,GRP
293,46147,anterior,2,FAM150B
294,40302,anterior,2,NRG1
295,47034,anterior,2,CHRM5
296,35268,anterior,2,CADM1
297,12905,anterior,2,SLC39A2
298,38880,anterior,2,CA10
299,3008,anterior,2,IGFBP5
300,29147,posterior,2,GRIK1
301,5824,posterior,2,SIX3
302,36105,posterior,2,RSHL1
303,30131,posterior,2,USP2
304,38310,posterior,2,PCP4L1
305,14182,posterior,2,BNC2
306,53294,posterior,2,TBC1D16
